Rank,Team,GP,Won,Lost,Tied,Pct.,First NFL season,Division
1,Dallas Cowboys,964,550,408,6,0.574,1960,NFC East
2,Green Bay Packers,"1,418",790,590,38,0.571,1921,NFC North
3,Baltimore Ravens,434,243,190,1,0.561,1996,AFC North
4,New England Patriots,966,537,420,9,0.561,1960,AFC East
5,Chicago Bears,"1,452",786,624,42,0.556,1920,NFC North
6,Miami Dolphins,882,485,393,4,0.552,1966,AFC East
7,Minnesota Vikings,952,516,425,11,0.548,1961,NFC North
8,Kansas City Chiefs,966,521,433,12,0.546,1960,AFC West
9,San Francisco 49ers[b],"1,084",574,496,14,0.536,1950,NFC West
10,Pittsburgh Steelers,"1,254",661,571,22,0.536,1933,AFC North
11,New York Giants,"1,387",715,638,34,0.528,1925,NFC East
12,Indianapolis Colts[c],"1,048",547,493,8,0.526,1953,AFC South
13,Denver Broncos,966,500,456,10,0.523,1960,AFC West
14,Las Vegas Raiders,966,497,458,11,0.52,1960,AFC West
15,Seattle Seahawks,742,383,358,1,0.517,1976,NFC West
16,Los Angeles Rams,"1,217",604,592,21,0.505,1937,NFC West
17,Los Angeles Chargers,966,478,477,11,0.501,1960,AFC West
18,Washington Commanders,"1,284",625,630,29,0.498,1932,NFC East
19,Philadelphia Eagles,"1,270",613,630,27,0.493,1933,NFC East
20,Tennessee Titans,966,470,490,6,0.49,1960,AFC South
21,Cleveland Browns[b][d],"1,036",501,524,11,0.489,1950,AFC North
22,Buffalo Bills,965,462,495,8,0.483,1960,AFC East
23,Carolina Panthers,450,212,237,1,0.472,1995,NFC South
24,New Orleans Saints,868,403,460,5,0.467,1967,NFC South
25,Cincinnati Bengals,853,385,463,5,0.454,1968,AFC North
26,Detroit Lions,"1,315",579,702,34,0.453,1930,NFC North
27,New York Jets,966,421,537,8,0.44,1960,AFC East
28,Atlanta Falcons,882,383,493,6,0.438,1966,NFC South
29,Houston Texans,338,142,195,1,0.434,2002,AFC South
30,Arizona Cardinals,"1,412",581,790,41,0.426,1920,NFC West
31,Jacksonville Jaguars,450,189,261,0,0.42,1995,AFC South
32,Tampa Bay Buccaneers,742,299,442,1,0.404,1976,NFC South
